Mold,Head,Pattern,Throat,Beam,Manufacturer,Name,Owned by Tommi,Tommi wants this,Year,DescriptionTommi,Description,Layup,Made in Austria,Designed in Austria,Info from,Image
Twin Tec 98,98,16x20,3,,Fischer,Twin Tec Pro,0,1,1989,"Could maybe like to have this, for completeness",Solid dark blue,SiC Ceramics graphite,1,0,,TwinTec/Twin_Tec_Pro_90.jpg
Twin Tec 98,98,16x20,3,,Fischer,Twin Tec,1,0,1991,Heavy and beautyful beast from 1991. Not really playable due to its 360g+ weight.,Smoky '91 purple,Kevlar graphite,1,0,,TwinTec/1991_TwinTec.PNG
Twin Tec 98,98,16x20,3,,Fischer,Twin Tec Pro,1,0,1991,"Classic racket from 1991, used famously by Charly Steeb",Smoky '91,SiC Ceramics graphite,1,0,,TwinTec/Twin_Tec_Pro_91.JPG
VPC_90,90,14x19,3,20/21,Fischer,Vacuum Pro,1,0,1988,First iteration of the classic Vacuum Pro from 1988. Rare 14x19 string pattern. Feels amazing if you hit the sweet spot. ,Cyan blue,SiC Ceramics graphite,1,0,,90/Vacuum_pro_14x_my.JPG
VPC_90,90,16x20,3,20/21,Fischer,Vacuum Pro,0,1,1989,Second iteration for the classic. Would surely like to have one. ,Cyan blue,SiC Ceramics graphite,1,0,,90/Fischer_Vacuum_Pro_Blue_16x20.PNG
VPC_90,90,16x20,3,20/21,Fischer,Vacuum Pro,0,1,1991,Classic 1991 iteration of the Vacuum Pro. Wanted by everyone. Me too.,Smoky 91',SiC Ceramics graphite,1,0,,90/Fischer_Vacuum_Pro_91.PNG
VPC_90,90,16x20,3,20/21,Fischer,Vacuum Pro Mid Size,0,0,1992,,"Fishnet,purple/blue/yellow/Purple text",SiC Ceramics graphite,1,0,,90/Fischer_Vacuum_Pro_Mid_Size.PNG
VPC_90,90,16x20,3,20/21,Fischer,Vacuum Pro Mid Size,0,0,1993,,"Fishnet,purple/blue/yellow/Purple text (white Pro, strange Vacuum)",SiC Ceramics graphite,1,0,,90/Fischer_Vacuum_Pro_Mid_Size_whitePro.jpg
VPC_90,90,16x20,3,19,Fischer,Vacuum Pro MS,0,0,1994,,"Fishnet,purple/blue/yellow/Black text background",SiC Ceramics graphite,1,0,,90/Fischer_Vacuum_Pro_MS_MIA.PNG
VPC_90,90,16x20,3,19,Fischer,Vacuum Pro MS,0,0,1994,,"Fishnet,purple/blue/yellow/Black text background",SiC Ceramics graphite,0,0,,90/Vacuum_Pro_MS_DA.png
VPC_90,90,16x20,3,19,Fischer,Vacuum Pro 90,0,0,1995,,"Fishnet,purple/blue/yellow",SiC Ceramics graphite,0,0,,90/Fischer_Vacuum_Pro_Classic_90.PNG
VPC_90,90,16x20,3,19,Fischer,Vacuum Pro Classic 90,0,0,1997,,"Silver, yellow/red",SiC Ceramics graphite,0,0,,90/Vacuum_Pro_Classic_90_silver.jpg
VPC_90,90,16x20,3,19,Fischer, VT Pro Classic,0,0,1998,,"Blue, red texts",,0,0,TW,90/Vacuum_Pro_Classic_90_Blue.jpg
VPC_90,90,16x20,3,19,Fischer,Vacuum Pro 90 Classic,0,0,2001,,"Yellow, black/white",Air-carbon Ti,0,0,,90/Vacuum_Pro_90_Classic_AirCarbonTi.jpg
VPC_90,90,16x20,3,19,Pacific,X Feel Pro 90,0,0,2014,,Black & white,,0,0,,90/Pacific_XFeel_Vacuum_Pro_90.jpg
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Plus,0,0,1988,,Yellow,Kevlar graphite?,1,0,,98-constant/Vacuum-PLus.jpg
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Plus,0,0,1990,,Dark grey,Kevlar graphite?,1,0,,98-constant/VacuumPlus.jpg
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Plus Micro,0,0,1990,,White,,1,0,,98-constant/Vacuum_PLusMicro.PNG
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Plus Pro,0,0,1990,,Solid purple,SiC Ceramics graphite,1,0,,98-constant/Fischer_Vacuum_Plus_Pro_Purple.PNG
VPC_98,98,16x20,3,20/21,Fischer,Vacuum Plus Pro,0,0,1991,,Smoky 91',SiC Ceramics graphite,1,0,,98-constant/Vacuum_pluspro_91.JPG
